RTT SRTT RTTd RTO
1100 1026.0172947302196 201.50774239075858 1388.7312310335851
1825 1125.8901328889422 325.9082735708334 1712.5250253164422
1251 1141.5288662778244 271.79898860866894 1630.7670457734284
1624 1201.8377579930964 309.3898019582276 1758.7394015179061
1452 1233.1080382439593 286.76534190768086 1749.285653677785
1608 1279.9695334634644 297.08162306489453 1814.7164549802746
2109 1383.5983417805314 404.16163185353804 2111.0892791169
601 1285.773549057965 474.3146111546448 2139.5398491363258
1217 1277.1768554257194 370.78017222241346 1944.5811654260638
691 1203.9047484975044 406.3113162911862 1935.2651178216397
984 1176.4166549353163 352.8376509522187 1811.52442664931
733 1120.9895730684018 361.6256314812645 1771.9157097346779
1409 1156.9908764348515 334.2215045022355 1758.5895845388754
1070 1146.1170168804952 269.6953825968004 1631.568705554736
768 1098.8523897704333 284.9846343902086 1611.8247316728089
943 1079.370841049129 247.8311860549387 1525.4669759480187
1316 1108.9494859179879 237.63601806170706 1536.6943184290606
1034 1099.5808001782393 194.62221359084012 1449.9007846417517
454 1018.8832001559595 287.18746023212 1535.8206285737756
514 955.7728001364645 325.8337952082061 1542.2736315112356
2095 1098.1762001194065 493.58129637630293 1986.622533596752
1333 1127.5291751044806 421.5536785061071 1886.3257964154734
1775 1208.4630282164205 457.79950182547515 2032.502131502276
1700 1269.905149689368 450.87333894676436 2081.477159793544
1517 1300.792005978197 392.207002715524 2006.7646108661402
2000 1388.1930052309224 447.1070007289124 2192.985606542965
773 1311.2938795770572 469.9037204409486 2157.120576370765
1632 1351.382144629925 422.5822541732302 2112.030202141739
1513 1371.5843765511845 352.2905964921265 2005.7074502370124
1179 1347.5113294822863 306.34577973966645 1898.933733013686
1981 1426.6974132970006 368.33498148049966 2089.7003799619
725 1338.9852366348755 429.7475452690936 2112.530818119244
1191 1320.487082055516 354.6824294656992 1958.9154550937747
1222 1308.1761967985767 287.5558712989186 1825.7767651366303
1094 1281.4041721987546 262.5179465238776 1753.9364759417342
1609 1322.3536506739104 268.5500472244306 1805.7437356778855
1096 1294.0594443396715 250.92739650324083 1745.728758045505
1185 1280.4270137972126 212.05230082673376 1662.1211552853333
899 1232.748637072561 242.47638488819058 1669.206129871304
1638 1283.405057438491 270.5060243065202 1770.3159011902274
2386 1421.2294252586796 444.07216191522025 2220.559316706076
886 1354.3257471013446 450.13555821175134 2164.5697518824973
1717 1399.6600287136766 416.9366614803944 2150.1460193783864
1906 1462.952525124467 423.46436482917903 2225.188381816989
1220 1432.5834594839087 370.74413849286145 2099.922908771059
952 1372.51052704842 383.1857356317511 2062.244851185572
821 1303.5717111673675 408.0322295156552 2038.029724295547
1104 1278.6252472714466 349.68048395460306 1908.0501183897322
992 1242.7970913625159 324.9596358065813 1827.724435814362
1062 1220.1974549422014 283.2690905904863 1730.0818180050767
1286 1228.4227730744262 226.8461246742582 1636.745797488091
654 1156.619926440123 295.7895751157244 1689.041161648427
1159 1156.9174356351077 222.3628224280164 1557.1705160055371
1142 1155.0527561807194 170.03530586619212 1461.1163067398652
1254 1167.4211616581294 149.1711889851117 1435.9293018313306
1272 1180.4935164508634 134.75501262611795 1423.0525391778756
995 1157.3068268945053 141.6429661932148 1412.264166042292
1647 1218.518473532692 213.3526062617381 1602.5531648038207
1178 1213.4536643411057 168.87787078158 1517.4338317479496
2350 1355.5219562984676 375.2779140115681 2031.0222015192903
1383 1358.956711761159 287.4692575683863 1876.4013753842546
1787 1412.4621227910143 309.2364124785362 1969.0876652523793
899 1348.2793574421376 344.2471487194365 1967.9242251371234
850 1285.9944377618704 367.18397098004493 1946.9255855259512
914 1239.4951330416366 356.76176149544284 1881.6663037334338
1251 1240.933241411432 270.08801076872413 1727.0916607951353
1389 1259.441586235003 234.95561151779236 1682.361686967029
887 1212.8863879556275 257.6883056272511 1676.7253380846796
849 1167.4005894611741 272.86637658573187 1658.5600673154916
885 1132.1005157785273 266.42491138393075 1611.6653562696026
805 1091.2129513062114 271.3719213645009 1579.682409762313
641 1034.936332392935 302.0130241216094 1578.559775811832
1130 1046.8192908438182 247.30494538025252 1491.9681925282728
710 1004.716879488341 259.1579289072746 1471.2011515214353
840 984.1272695522983 230.40026406853053 1398.8477448756532
1289 1022.236360858261 239.49110783683264 1453.3203549645598
602 969.7068157509784 271.5450348153691 1458.4878784186428
1477 1033.1184637821061 314.6291601660003 1599.4509520809065
1070 1037.7286558093429 244.03970617216453 1477.000126919239
1353 1077.1375738331749 251.99538617082968 1530.7292689406684
973 1064.120377104028 211.77663390412926 1445.3183181314607
523 996.4803299660244 277.202557919603 1495.44493422131
1186 1020.1702887202714 249.3593462596344 1469.0171119876134
629 971.2740026302374 272.58801035228515 1461.9324212643508
993 973.9897523014578 209.1935696888494 1350.5381777413868
668 935.7410332637755 223.83043558258095 1338.6358173124213
1149 962.3984041058036 214.5232256604848 1348.5402102946762
928 958.0986035925781 168.41707014350814 1261.2493298508928
1194 987.5862781435059 177.91623307175465 1307.8354976726641
1021 991.7629933755676 140.7464264599241 1245.106561003431
907 981.1676192036216 124.10172464584846 1204.550723566149
1005 984.146666803169 98.28962678359412 1161.0679950136384
643 941.5033334527728 148.3430534508888 1208.5208296643727
1606 1024.5654167711764 256.6159358953725 1486.474101382847
666 979.7447396747793 270.8981368402242 1467.361385987183
1331 1023.6516472154319 280.01069082631017 1527.6708907027903
1133 1037.320191313503 233.92797029135687 1458.3905378379454
1179 1055.0301673993151 206.43843586868888 1426.619351962955
1837 1152.7763964744008 325.88472778291646 1739.3689064836503
1456 1190.6793469151007 310.7437091084122 1750.0180233102428
1599 1241.719428550713 322.3779246936309 1821.9996929992487
1999 1336.3794999818738 407.4385685247547 2069.7689233264323
2248 1450.3320624841394 504.99591077253115 2359.3247018746956
635 1348.415554673622 557.1008217478038 2351.197033819669
1409 1355.9886103394192 431.07846372599806 2131.9298450462156
1686 1397.2400340469917 395.4988392827506 2109.137944755943
1472 1406.5850297911177 312.97787201428355 1969.945199416828
2104 1493.7619010672279 387.2929287439057 2190.889172806258
866 1415.2916634338244 427.7926124163854 2185.318365783318
1916 1477.8802055045962 430.37440793613996 2252.554139789648
1099 1430.5201798165217 405.6608509062354 2160.7097114477456
1716 1466.2051573394565 366.69434884481245 2126.2549852601187
910 1396.6795126720244 396.6906398016155 2110.7226643149324
1640 1427.0945735880214 350.7443364542063 2058.4343792055924
1570 1444.9577518895187 294.318814368275 1974.7316177524137
2201 1539.463032903329 386.123352550374 2234.485067494002
1533 1538.655153790413 291.00630286038376 2062.4664989391035
1302 1509.0732595666113 270.02304203694064 1995.1147352331045
1581 1518.0641021207848 218.25125599750928 1910.9163629163015
1186 1476.5560893556867 236.32746433705364 1901.9455251623833
1623 1494.8615781862259 209.28020370623375 1871.5659448574465
1435 1487.3788809129476 170.0548730079122 1793.4776523271896
1379 1473.8315207988292 151.24903495564143 1746.079783718984
1620 1492.1025806989755 145.41113104198718 1753.8426165745525
1015 1432.4647581116037 213.42453780939132 1816.628926168508
1796 1477.9066633476532 239.5917375201302 1909.1717908838875
1454 1474.9183304291964 184.92338574739676 1807.7804247745107
548 1359.0535391255469 341.4559240919343 1973.6742024910286
957 1308.7968467348535 344.0411547526641 1928.070925289649
1949 1388.822240892997 398.07530584124885 2105.357791407245
2238 1494.9694607813722 484.3141141855936 2366.7348663154407
1175 1454.9732781837006 433.22890518512037 2234.7853075169173
1445 1453.726618410738 327.1033334915248 2042.5126186954826
2056 1529.0107911093958 377.0748023412946 2207.7454353237263
1716 1552.3844422207212 323.7099912007907 2135.0624263821446
1158 1503.086386943131 329.05409013637575 2095.3837491886075
664 1398.2005885752396 430.34071474609175 2172.813875118205
1271 1382.3005150033346 350.5806648104025 2013.345711662059
1557 1404.1379506279177 301.1510109508224 1946.209770339398
1996 1478.120706799428 355.3330815132598 2117.7202535232955
1889 1529.4806184494996 356.3796565225699 2170.9640001901253
1518 1528.0455411433122 269.7961276777555 2013.6785709632723
1246 1492.7898485003982 264.0445578834162 1968.0700526905473
978 1428.4411174378483 310.6436977720242 1987.599773427492
1572 1446.3859777581174 264.38627888948884 1922.2812797591973
